,tp,t2m,t2m_d18O,t2m_dexc,decimalyear
2003-12-25,0.0009536743200000001,244.39734583333333,-45.08880054166666,-45.08880054166666,2003.9808219178083
2003-12-26,0.0,244.47133458333334,-45.05254605416665,-45.05254605416665,2003.9835616438356
2003-12-27,0.0,244.94917083333334,-44.81840629166665,-44.81840629166665,2003.986301369863
2003-12-28,0.0009536743,244.076675,-45.24592924999999,-45.24592924999999,2003.9890410958903
2003-12-29,0.007152557300000001,244.32725458333334,-45.12314525416665,-45.12314525416665,2003.9917808219177
2003-12-30,0.007152557399999999,242.45452625,-46.040782137499995,-46.040782137499995,2003.9945205479453
2003-12-31,0.1454353342,246.51630875,-44.05050871249998,-44.05050871249998,2003.9972602739726
2004-01-01,0.16999244642,246.25830499999998,-44.17693055,-44.17693055,2004.0
2004-01-02,0.2684593191,247.37914333333333,-43.62771976666666,-43.62771976666666,2004.0027322404371
2004-01-03,0.05674362218,247.14671625000003,-43.74160903749998,-43.74160903749998,2004.0054644808743
2004-01-04,0.0,246.22810458333333,-44.191728754166654,-44.191728754166654,2004.0081967213114
2004-01-05,0.0061988830000000005,245.382785,-44.60593534999998,-44.60593534999998,2004.0109289617487
2004-01-06,0.04529953046,244.77342083333335,-44.90452379166665,-44.90452379166665,2004.0136612021859
2004-01-07,0.08201599136,245.29169291666668,-44.650570470833316,-44.650570470833316,2004.016393442623
2004-01-08,0.024795532479999997,245.48105208333334,-44.557784479166656,-44.557784479166656,2004.01912568306
2004-01-09,0.00238418578,242.90787041666667,-45.81864349583332,-45.81864349583332,2004.0218579234972
2004-01-10,0.0,241.45167041666664,-46.532181495833335,-46.532181495833335,2004.0245901639344
2004-01-11,0.0,241.13997833333335,-46.68491061666665,-46.68491061666665,2004.0273224043715
2004-01-12,0.0,241.25386166666667,-46.629107783333325,-46.629107783333325,2004.0300546448088
2004-01-13,0.0,240.74101291666668,-46.88040367083332,-46.88040367083332,2004.032786885246
2004-01-14,0.00047683716000000004,239.98699166666665,-47.249874083333324,-47.249874083333324,2004.035519125683
2004-01-15,0.0014305114800000002,239.2692575,-47.601563824999985,-47.601563824999985,2004.0382513661202
2004-01-16,0.0,237.91927541666666,-48.263055045833326,-48.263055045833326,2004.0409836065573
2004-01-17,0.09393691959999999,240.11440875000002,-47.18743971249998,-47.18743971249998,2004.0437158469945
2004-01-18,0.0052452087,239.30859666666666,-47.58228763333332,-47.58228763333332,2004.0464480874316
2004-01-19,0.0085830688,241.67964583333332,-46.42047354166666,-46.42047354166666,2004.049180327869
2004-01-20,0.0586509702,242.67871458333335,-45.93092985416665,-45.93092985416665,2004.051912568306
2004-01-21,0.012874603159999998,240.31573041666664,-47.088792095833334,-47.088792095833334,2004.0546448087432
2004-01-22,0.0014305114800000002,242.22883416666664,-46.151371258333334,-46.151371258333334,2004.0573770491803
2004-01-23,0.0028610229600000005,241.91018499999998,-46.30750935,-46.30750935,2004.0601092896175
2004-01-24,0.00810623162,239.70682333333332,-47.38715656666666,-47.38715656666666,2004.0628415300546
2004-01-25,0.11968612666,241.06629124999998,-46.7210172875,-46.7210172875,2004.0655737704917
2004-01-26,0.01907348624,240.8053175,-46.84889442499999,-46.84889442499999,2004.068306010929
2004-01-27,0.00810623162,238.7151575,-47.87307282499999,-47.87307282499999,2004.0710382513662
2004-01-28,0.0028610229600000005,238.07524208333334,-48.186631379166656,-48.186631379166656,2004.0737704918033
2004-01-29,0.0014305114800000002,238.148655,-48.150659049999994,-48.150659049999994,2004.0765027322404
2004-01-30,0.0019073486400000002,239.31759791666664,-47.577877020833334,-47.577877020833334,2004.0792349726776
2004-01-31,0.02384185772,239.38165791666665,-47.54648762083333,-47.54648762083333,2004.0819672131147
2004-02-01,0.05817413432,237.67553,-48.382490299999986,-48.382490299999986,2004.0846994535518
2004-02-02,0.0,238.11384458333336,-48.16771615416664,-48.16771615416664,2004.0874316939892
2004-02-03,0.00190734862,240.91012125,-46.79754058749999,-46.79754058749999,2004.0901639344263
2004-02-04,0.0,236.89740375,-48.76377216249999,-48.76377216249999,2004.0928961748634
2004-02-05,0.0038146972,236.6228075,-48.89832432499999,-48.89832432499999,2004.0956284153006
2004-02-06,0.023841857759999998,235.84315125,-49.28035588749999,-49.28035588749999,2004.0983606557377
2004-02-07,0.23937225356,238.20389291666666,-48.12359247083333,-48.12359247083333,2004.1010928961748
2004-02-08,0.05435943651999999,237.64376416666667,-48.39805555833332,-48.39805555833332,2004.103825136612
2004-02-09,0.1378059385,240.74299791666667,-46.87943102083332,-46.87943102083332,2004.1065573770493
2004-02-10,0.10251998809999999,240.48527958333332,-47.005713004166665,-47.005713004166665,2004.1092896174864
2004-02-11,0.0,234.49576625,-49.940574537499984,-49.940574537499984,2004.1120218579235
2004-02-12,0.004291534360000001,233.49628708333333,-50.43031932916666,-50.43031932916666,2004.1147540983607
2004-02-13,0.010013580260000002,231.91541375,-51.204947262499985,-51.204947262499985,2004.1174863387978
2004-02-14,0.0,230.8715125,-51.71645887499999,-51.71645887499999,2004.120218579235
2004-02-15,0.00047683716000000004,231.96288833333332,-51.18168471666666,-51.18168471666666,2004.122950819672
2004-02-16,0.00619888304,232.6492570833333,-50.84536402916667,-50.84536402916667,2004.1256830601094
2004-02-17,0.0014305114800000002,229.94108375,-52.172368962499995,-52.172368962499995,2004.1284153005465
2004-02-18,0.0,229.32501083333332,-52.474244691666655,-52.474244691666655,2004.1311475409836
2004-02-19,0.00810623162,228.11915875,-53.06511221249999,-53.06511221249999,2004.1338797814208
2004-02-20,0.0038146972800000003,226.7117154166667,-53.75475944583331,-53.75475944583331,2004.136612021858
2004-02-21,0.13375282232,230.29829208333334,-51.99733687916665,-51.99733687916665,2004.139344262295
2004-02-22,1.4371872099999998,239.11617291666667,-47.676575270833325,-47.676575270833325,2004.1420765027322
2004-02-23,0.5121231128,238.08792791666667,-48.18041532083332,-48.18041532083332,2004.1448087431695
2004-02-24,0.2384185796,237.08193958333334,-48.67334960416665,-48.67334960416665,2004.1475409836066
2004-02-25,0.14305114766000002,235.90479666666667,-49.25014963333332,-49.25014963333332,2004.1502732240438
2004-02-26,0.04720687868,231.63404666666668,-51.34281713333331,-51.34281713333331,2004.1530054644809
2004-02-27,0.0057220459,228.73453666666668,-52.76357703333331,-52.76357703333331,2004.155737704918
2004-02-28,0.0696182251,227.21085916666667,-53.510179008333324,-53.510179008333324,2004.1584699453551
2004-02-29,0.10347366376,228.207855,-53.02165104999999,-53.02165104999999,2004.1612021857923
2004-03-01,0.11157989349999999,226.81051791666667,-53.706346220833325,-53.706346220833325,2004.1639344262296
2004-03-02,0.012397766020000001,226.3417241666667,-53.9360551583333,-53.9360551583333,2004.1666666666667
2004-03-03,0.08773803762,227.52689333333333,-53.355322266666654,-53.355322266666654,2004.1693989071039
2004-03-04,0.005245208760000001,224.75536833333334,-54.71336951666665,-54.71336951666665,2004.172131147541
2004-03-05,0.010013580340000001,225.71476708333333,-54.24326412916666,-54.24326412916666,2004.1748633879781
2004-03-06,0.00143051146,226.00505166666667,-54.10102468333332,-54.10102468333332,2004.1775956284152
2004-03-07,0.0033378600600000004,225.15865250000002,-54.51576027499998,-54.51576027499998,2004.1803278688524
2004-03-08,0.0295639039,225.05130333333332,-54.568361366666664,-54.568361366666664,2004.1830601092897
2004-03-09,0.23508071744,226.8330929166667,-53.695284470833315,-53.695284470833315,2004.1857923497269
2004-03-10,0.1626014698,226.62978708333333,-53.794904329166656,-53.794904329166656,2004.188524590164
2004-03-11,0.0014305114800000002,220.48222833333332,-56.80720811666666,-56.80720811666666,2004.191256830601
2004-03-12,0.0,216.79525125,-58.61382688749998,-58.61382688749998,2004.1939890710382
2004-03-13,0.06437301646,217.01936916666668,-58.50400910833332,-58.50400910833332,2004.1967213114754
